seed,difficulty,instruction,text_input,prompt,filter_instruction,filter_prompt,gold_label,gold_lines,target_color,target_shape,target_marker,num_records
1000,easy,Count the entries that are yellow triangles. Respond with a number only.,"blue | circle | 0
green | square | 1
yellow | square | 0
yellow | triangle | 0
yellow | square | 1
blue | triangle | 1
yellow | square | 1
yellow | triangle | 1
yellow | triangle | 1
yellow | square | 1
yellow | triangle | 0
red | triangle | 0","Count the entries that are yellow triangles. Respond with a number only.

blue | circle | 0
green | square | 1
yellow | square | 0
yellow | triangle | 0
yellow | square | 1
blue | triangle | 1
yellow | square | 1
yellow | triangle | 1
yellow | triangle | 1
yellow | square | 1
yellow | triangle | 0
red | triangle | 0","Return the line numbers (1-based) of the entries that are yellow triangles.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","Return the line numbers (1-based) of the entries that are yellow triangles.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

blue | circle | 0
green | square | 1
yellow | square | 0
yellow | triangle | 0
yellow | square | 1
blue | triangle | 1
yellow | square | 1
yellow | triangle | 1
yellow | triangle | 1
yellow | square | 1
yellow | triangle | 0
red | triangle | 0",4,"[4, 8, 9, 11]",yellow,triangle,,12
1001,easy,Count the entries that are red circles. Respond with a number only.,"red | square | 0
yellow | square | 1
blue | circle | 1
blue | square | 0
red | circle | 1
yellow | square | 1
blue | circle | 0
red | circle | 1
yellow | triangle | 0
red | circle | 1
yellow | circle | 0
red | circle | 0","Count the entries that are red circles. Respond with a number only.

red | square | 0
yellow | square | 1
blue | circle | 1
blue | square | 0
red | circle | 1
yellow | square | 1
blue | circle | 0
red | circle | 1
yellow | triangle | 0
red | circle | 1
yellow | circle | 0
red | circle | 0","Return the line numbers (1-based) of the entries that are red circles.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","Return the line numbers (1-based) of the entries that are red circles.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

red | square | 0
yellow | square | 1
blue | circle | 1
blue | square | 0
red | circle | 1
yellow | square | 1
blue | circle | 0
red | circle | 1
yellow | triangle | 0
red | circle | 1
yellow | circle | 0
red | circle | 0",4,"[5, 8, 10, 12]",red,circle,,12
1002,easy,Count the entries that are yellow circles. Respond with a number only.,"green | circle | 1
yellow | circle | 1
red | circle | 1
yellow | circle | 1
green | triangle | 1
red | circle | 1
blue | circle | 1
blue | circle | 1
green | triangle | 0
yellow | square | 0
green | circle | 1
yellow | square | 0
red | circle | 0","Count the entries that are yellow circles. Respond with a number only.

green | circle | 1
yellow | circle | 1
red | circle | 1
yellow | circle | 1
green | triangle | 1
red | circle | 1
blue | circle | 1
blue | circle | 1
green | triangle | 0
yellow | square | 0
green | circle | 1
yellow | square | 0
red | circle | 0","Return the line numbers (1-based) of the entries that are yellow circles.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","Return the line numbers (1-based) of the entries that are yellow circles.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

green | circle | 1
yellow | circle | 1
red | circle | 1
yellow | circle | 1
green | triangle | 1
red | circle | 1
blue | circle | 1
blue | circle | 1
green | triangle | 0
yellow | square | 0
green | circle | 1
yellow | square | 0
red | circle | 0",2,"[2, 4]",yellow,circle,,13
1003,easy,Count the entries that are yellow triangles. Respond with a number only.,"green | triangle | 0
green | square | 1
red | square | 0
green | square | 0
red | square | 0
yellow | triangle | 1
yellow | square | 1
yellow | circle | 0
green | triangle | 0
red | triangle | 1
yellow | triangle | 1
green | triangle | 0
blue | square | 1
blue | triangle | 0","Count the entries that are yellow triangles. Respond with a number only.

green | triangle | 0
green | square | 1
red | square | 0
green | square | 0
red | square | 0
yellow | triangle | 1
yellow | square | 1
yellow | circle | 0
green | triangle | 0
red | triangle | 1
yellow | triangle | 1
green | triangle | 0
blue | square | 1
blue | triangle | 0","Return the line numbers (1-based) of the entries that are yellow triangles.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","Return the line numbers (1-based) of the entries that are yellow triangles.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

green | triangle | 0
green | square | 1
red | square | 0
green | square | 0
red | square | 0
yellow | triangle | 1
yellow | square | 1
yellow | circle | 0
green | triangle | 0
red | triangle | 1
yellow | triangle | 1
green | triangle | 0
blue | square | 1
blue | triangle | 0",2,"[6, 11]",yellow,triangle,,14
1004,easy,Count the entries that are yellow circles. Respond with a number only.,"red | triangle | 0
green | triangle | 0
red | square | 0
yellow | square | 0
green | circle | 1
red | triangle | 0
red | triangle | 0
green | circle | 1
red | square | 0
blue | triangle | 0
red | circle | 0
green | triangle | 0
blue | circle | 1
yellow | circle | 1
yellow | circle | 0
red | circle | 0","Count the entries that are yellow circles. Respond with a number only.

red | triangle | 0
green | triangle | 0
red | square | 0
yellow | square | 0
green | circle | 1
red | triangle | 0
red | triangle | 0
green | circle | 1
red | square | 0
blue | triangle | 0
red | circle | 0
green | triangle | 0
blue | circle | 1
yellow | circle | 1
yellow | circle | 0
red | circle | 0","Return the line numbers (1-based) of the entries that are yellow circles.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","Return the line numbers (1-based) of the entries that are yellow circles.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

red | triangle | 0
green | triangle | 0
red | square | 0
yellow | square | 0
green | circle | 1
red | triangle | 0
red | triangle | 0
green | circle | 1
red | square | 0
blue | triangle | 0
red | circle | 0
green | triangle | 0
blue | circle | 1
yellow | circle | 1
yellow | circle | 0
red | circle | 0",2,"[14, 15]",yellow,circle,,16
1005,easy,Count the entries that are yellow squares. Respond with a number only.,"red | square | 1
yellow | circle | 0
blue | square | 1
yellow | square | 1
red | circle | 1
blue | square | 0
yellow | square | 0
red | circle | 1
green | square | 1
yellow | triangle | 1
blue | triangle | 0
red | circle | 1
yellow | circle | 1
yellow | square | 1
yellow | square | 1
yellow | triangle | 1","Count the entries that are yellow squares. Respond with a number only.

red | square | 1
yellow | circle | 0
blue | square | 1
yellow | square | 1
red | circle | 1
blue | square | 0
yellow | square | 0
red | circle | 1
green | square | 1
yellow | triangle | 1
blue | triangle | 0
red | circle | 1
yellow | circle | 1
yellow | square | 1
yellow | square | 1
yellow | triangle | 1","Return the line numbers (1-based) of the entries that are yellow squares.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","Return the line numbers (1-based) of the entries that are yellow squares.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

red | square | 1
yellow | circle | 0
blue | square | 1
yellow | square | 1
red | circle | 1
blue | square | 0
yellow | square | 0
red | circle | 1
green | square | 1
yellow | triangle | 1
blue | triangle | 0
red | circle | 1
yellow | circle | 1
yellow | square | 1
yellow | square | 1
yellow | triangle | 1",4,"[4, 7, 14, 15]",yellow,square,,16
1006,easy,Count the entries that are green circles. Respond with a number only.,"green | circle | 1
green | circle | 0
red | square | 0
green | circle | 0
yellow | circle | 0
red | circle | 0
yellow | square | 0
green | square | 0
red | circle | 0
blue | square | 1
blue | square | 0
green | square | 1
green | circle | 0","Count the entries that are green circles. Respond with a number only.

green | circle | 1
green | circle | 0
red | square | 0
green | circle | 0
yellow | circle | 0
red | circle | 0
yellow | square | 0
green | square | 0
red | circle | 0
blue | square | 1
blue | square | 0
green | square | 1
green | circle | 0","Return the line numbers (1-based) of the entries that are green circles.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","Return the line numbers (1-based) of the entries that are green circles.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

green | circle | 1
green | circle | 0
red | square | 0
green | circle | 0
yellow | circle | 0
red | circle | 0
yellow | square | 0
green | square | 0
red | circle | 0
blue | square | 1
blue | square | 0
green | square | 1
green | circle | 0",4,"[1, 2, 4, 13]",green,circle,,13
1007,easy,Count the entries that are red triangles. Respond with a number only.,"red | circle | 1
yellow | square | 1
red | circle | 0
green | square | 1
red | square | 0
red | triangle | 0
red | triangle | 0
blue | square | 0
red | circle | 1
green | triangle | 1
red | triangle | 0
red | square | 1
blue | square | 1","Count the entries that are red triangles. Respond with a number only.

red | circle | 1
yellow | square | 1
red | circle | 0
green | square | 1
red | square | 0
red | triangle | 0
red | triangle | 0
blue | square | 0
red | circle | 1
green | triangle | 1
red | triangle | 0
red | square | 1
blue | square | 1","Return the line numbers (1-based) of the entries that are red triangles.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","Return the line numbers (1-based) of the entries that are red triangles.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

red | circle | 1
yellow | square | 1
red | circle | 0
green | square | 1
red | square | 0
red | triangle | 0
red | triangle | 0
blue | square | 0
red | circle | 1
green | triangle | 1
red | triangle | 0
red | square | 1
blue | square | 1",3,"[6, 7, 11]",red,triangle,,13
1008,easy,Count the entries that are yellow squares. Respond with a number only.,"blue | circle | 1
green | triangle | 1
blue | triangle | 0
red | circle | 0
green | triangle | 1
green | square | 1
blue | square | 0
red | triangle | 0
yellow | circle | 0
green | square | 1
yellow | triangle | 1
yellow | square | 0","Count the entries that are yellow squares. Respond with a number only.

blue | circle | 1
green | triangle | 1
blue | triangle | 0
red | circle | 0
green | triangle | 1
green | square | 1
blue | square | 0
red | triangle | 0
yellow | circle | 0
green | square | 1
yellow | triangle | 1
yellow | square | 0","Return the line numbers (1-based) of the entries that are yellow squares.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","Return the line numbers (1-based) of the entries that are yellow squares.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

blue | circle | 1
green | triangle | 1
blue | triangle | 0
red | circle | 0
green | triangle | 1
green | square | 1
blue | square | 0
red | triangle | 0
yellow | circle | 0
green | square | 1
yellow | triangle | 1
yellow | square | 0",1,[12],yellow,square,,12
1009,easy,Count the entries that are blue circles. Respond with a number only.,"red | square | 1
yellow | circle | 0
red | circle | 1
blue | square | 0
red | square | 0
red | triangle | 1
blue | square | 0
green | triangle | 1
yellow | square | 0
yellow | triangle | 1
red | circle | 1
red | square | 0
blue | circle | 1
yellow | square | 0
blue | square | 0","Count the entries that are blue circles. Respond with a number only.

red | square | 1
yellow | circle | 0
red | circle | 1
blue | square | 0
red | square | 0
red | triangle | 1
blue | square | 0
green | triangle | 1
yellow | square | 0
yellow | triangle | 1
red | circle | 1
red | square | 0
blue | circle | 1
yellow | square | 0
blue | square | 0","Return the line numbers (1-based) of the entries that are blue circles.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","Return the line numbers (1-based) of the entries that are blue circles.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

red | square | 1
yellow | circle | 0
red | circle | 1
blue | square | 0
red | square | 0
red | triangle | 1
blue | square | 0
green | triangle | 1
yellow | square | 0
yellow | triangle | 1
red | circle | 1
red | square | 0
blue | circle | 1
yellow | square | 0
blue | square | 0",1,[13],blue,circle,,15
